site_code,trt,year_trt,avg_richness,avg_richness2,avg_invsimpsons2,avg_shannons,avg_evenness_Sh,beta_invsimpsons,gamma_richness,log_spp_stab_cover,log_spp_asynch_cover,log_spatial_asynch_prod,log_alpha_stab_prod,log_gamma_stab_prod,temp_mean,temp_sd,TEMP_VAR_v2,MAP_VAR_v2,res_log_spatial_asynch_prod,res_log_alpha_stab_prod,res_log_gamma_stab_prod,resGamma_prod
saana.fi,Fertilized,4,15.33333333,3.938599455,3.139784162,10.68964369,0.869444709,1.246035993,23.75,0.345988968,0.816065844,0.011935795,1.321389823,1.333325617,395,123.5728614,908.2325491,35.55199704,-0.149039386,0.63591089,0.436743146,0.304124502
sage.us,Control,4,12.16666667,3.604862058,2.441411745,7.317320662,0.785232658,1.701918316,24,0.400621461,1.022425737,0.741311354,0.914622429,1.655933782,202.5,48.79816395,688.3559399,73.81981124,0.531864315,0.188484878,0.700341376,0.669585326
sage.us,Fertilized,4,12.83333333,3.68182404,2.711109655,8.343550539,0.830917108,1.783641309,26.25,0.469862603,1.166146778,0.858118085,1.560285614,2.418403698,227.75,44.35560829,688.3559399,73.81981124,0.70722056,0.986086943,1.652113719,1.426921391
saline.us,Control,4,10.58333333,3.403722186,1.952350719,5.328642885,0.709060232,1.900836535,20.25,0.254517182,1.740070742,0.152554014,1.066717966,1.21927198,456,62.04778947,1034.828623,53.31504117,-0.141588951,0.265645353,0.098405073,0.254155025
saline.us,Fertilized,4,10,3.321928095,1.785810698,4.709578233,0.675014954,1.247674427,20.25,-0.046142173,1.43836508,0.081973406,0.863292182,0.945265588,536.5,133.3321863,1034.828623,53.31504117,-0.044026502,0.196519474,0.089833949,-0.011772446
sedg.us,Control,4,6.75,2.754887502,1.194312809,2.924851977,0.508033276,0.963963366,10.75,0.628331165,0.58738849,0.374471411,1.145772573,1.520243984,242.375,71.86335429,426.8089893,95.92791963,0.072677782,0.390852433,0.550456888,0.631694494
sedg.us,Fertilized,4,5.75,2.523561956,1.022048298,2.651251347,0.490940288,1.169934048,10,0.40658674,0.521718351,0.869813816,1.246128249,2.115942065,296.25,117.0848167,426.8089893,95.92791963,0.495019241,0.678785989,1.389424141,1.264557656
sereng.tz,Fertilized,4,11.41666667,3.513069582,2.460681203,7.178191099,0.801902463,1.15174769,18.75,0.204280059,1.421635043,0.009517281,0.255508103,0.265025383,209.7,41.25460883,76.18260787,56.55861143,-0.101039282,-0.593361922,-0.699419874,-0.70233571
sereng.tz,Control,4,12.33333333,3.624490865,2.600876496,7.878522876,0.820719674,1.174077042,20.75,0.509599642,1.092637739,0.019132627,0.588478455,0.607611082,197.675,39.82070038,76.18260787,56.55861143,-0.303128397,-0.296430427,-0.604380261,-0.375737657
sevi.us,Fertilized,4,5.583333333,2.48112669,1.415561176,3.368654056,0.567422136,1.263356675,10.25,-0.152780354,0.710487334,0.023298969,-0.161457759,-0.13815879,109.955,62.95147626,846.8259766,66.06919852,-0.100046722,-0.758619463,-0.930710242,-0.968331852
